1695882964.5971322,32.47,19.4679
1695883026.6757045,32.41,19.4544
1695883088.7539017,25.04,18.2139
1695883150.8319438,18.14,17.1467
1695883202.899876,14.83,16.6724
1695883264.9779973,12.37,16.3307
1695883327.0560765,11.11,16.1614
1695883389.1342413,12.49,16.3464
1695883451.2124527,11.69,16.2359
1695883503.2803874,11.28,16.1804
1695883565.3585472,10.93,16.1365
1695883627.4342802,10.75,16.11
1695883689.5119922,10.58,16.0928
1695883751.589774,10.38,16.0652
1695883803.6574054,10.17,16.0376
1695883865.7352662,9.86,15.9969
1695883927.8130794,9.75,15.9826
1695883989.890914,9.43,15.9356
1695884051.968765,9.08,15.8923
1695884104.0364363,8.74,15.8491
1695884166.1142714,8.59,15.8269
1695884228.1920717,8.66,15.8377
1695884290.2698526,8.66,15.8377
1695884342.3375309,8.65,15.8377
1695884404.4154453,8.65,15.8377
1695884466.4933183,8.7,15.8399
1695884528.5711608,8.74,15.8491
1695884590.6490436,8.85,15.8633
1695884642.7167916,9.02,15.882
1695884704.7946303,9.05,15.8895
1695884766.8724782,9.09,15.8923
1695884828.9503264,9.02,15.882
1695884891.0282974,8.87,15.865
1695884943.0959494,8.62,15.8349
1695885005.1738713,8.4,15.8013
1695885067.2517526,8.18,15.7735
1695885129.3295143,8.05,15.7583
1695885191.4073555,8.0,15.7555
1695885243.4750183,8.06,15.7594
1695885305.5528824,8.15,15.7713
1695885367.630693,8.23,15.7827
1695885429.7086256,8.33,15.7958
1695885491.78263,8.41,15.8024
1695885543.8416011,8.54,15.823
1695885605.915279,8.66,15.8377
1695885667.984863,8.73,15.8491
1695885730.0577464,8.89,15.8661
1695885782.1199775,8.94,15.8764
1695885844.1880136,8.87,15.865
1695885906.263852,8.74,15.8491
1695885968.333562,8.43,15.8099
1695886030.4112859,8.12,15.7697
1695886082.4789307,7.93,15.7442
1695886144.5529218,7.77,15.7209
1695886206.630699,7.84,15.7323
1695886268.708481,7.94,15.7453
1695886330.7861285,8.09,15.7611
1695886382.8530252,8.12,15.7697
1695886444.9308083,8.29,15.7866
1695886507.0085926,8.34,15.7968
1695886569.0835285,8.42,15.8088
1695886631.1527805,8.52,15.8218
1695886683.2200797,8.6,15.8269
1695886745.2927318,8.67,15.8388
1695886807.3705134,8.76,15.8502
1695886869.448292,8.7,15.8399
1695886931.5259511,8.42,15.8088
1695886983.5834093,8.21,15.7816
1695887045.661227,7.87,15.7334
1695887107.7389793,7.7,15.7165
1695887169.8131397,7.73,15.7182
1695887231.8834276,7.81,15.7295
1695887283.95101,7.84,15.7323
1695887346.0287113,7.95,15.7453
1695887408.106517,8.06,15.7594
1695887470.1838477,8.14,15.7713
1695887522.2514985,8.23,15.7827
1695887584.323359,8.32,15.7958
1695887646.4011593,8.41,15.8024
1695887708.4789448,8.52,15.8218
1695887770.5529468,8.61,15.8285
1695887822.6205535,8.61,15.8285
1695887884.6982877,8.37,15.7985
1695887946.7759964,8.1,15.7622
1695888008.8438094,7.79,15.722
1695888070.9215488,7.53,15.6922
1695888122.9891841,7.49,15.6894
1695888185.0631986,7.62,15.7041
1695888247.140989,7.72,15.7182
